GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
HALLMARK_UV_RESPONSE_UP	158	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	0.3223	1.3754	0.006383	0.63068	0.44	0.171	0.119	0.152	0	0.381
HALLMARK_NOTCH_SIGNALING	32	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING	0.40612	1.3004	0.1266	0.6415	0.686	0.219	0.195	0.176	0.58696	0.273
HALLMARK_MYC_TARGETS_V2	58	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V2	0.33827	1.2192	0.1495	0.85056	0.893	0.241	0.147	0.206	0.78836	0.382
HALLMARK_XENOBIOTIC_METABOLISM	199	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_XENOBIOTIC_METABOLISM	0.27426	1.1921	0.1055	0.79293	0.947	0.281	0.241	0.215	0.75	0.304
HALLMARK_PANCREAS_BETA_CELLS	40	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PANCREAS_BETA_CELLS	0.36043	1.1914	0.1853	0.63827	0.947	0.35	0.192	0.283	0.60857	0.165
HALLMARK_ESTROGEN_RESPONSE_LATE	199	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_LATE	0.25723	1.1306	0.1506	0.85915	0.988	0.211	0.165	0.178	0.85714	0.352
HALLMARK_KRAS_SIGNALING_DN	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_DN	0.25535	1.1285	0.1807	0.74727	0.988	0.215	0.158	0.182	0.74176	0.219
HALLMARK_ANDROGEN_RESPONSE	100	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANDROGEN_RESPONSE	0.26894	1.0666	0.3239	1	1	0.18	0.196	0.145	1	0.513
HALLMARK_MITOTIC_SPINDLE	198	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MITOTIC_SPINDLE	0.2346	1.035	0.3537	1	1	0.268	0.296	0.19	1	0.651
HALLMARK_BILE_ACID_METABOLISM	112	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_BILE_ACID_METABOLISM	0.25186	1.0202	0.377	1	1	0.17	0.137	0.147	1	0.6
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.23094	1.0111	0.4431	1	1	0.175	0.145	0.151	1	0.561
HALLMARK_COMPLEMENT	198	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COMPLEMENT	0.23155	1.0083	0.4323	0.96049	1	0.242	0.21	0.193	0.96429	0.436
HALLMARK_DNA_REPAIR	150	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR	0.2334	0.97624	0.5233	1	1	0.267	0.239	0.204	1	0.594
HALLMARK_HYPOXIA	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	0.21917	0.96615	0.5404	1	1	0.215	0.217	0.17	1	0.602
HALLMARK_SPERMATOGENESIS	135	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_SPERMATOGENESIS	0.22965	0.94591	0.5954	1	1	0.111	0.0784	0.103	1	0.679
HALLMARK_MYOGENESIS	199	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYOGENESIS	0.21257	0.93186	0.6888	1	1	0.281	0.243	0.215	1	0.682
HALLMARK_HEME_METABOLISM	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HEME_METABOLISM	0.20149	0.87919	0.7904	1	1	0.155	0.164	0.131	1	0.953
HALLMARK_UV_RESPONSE_DN	144	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_DN	0.20653	0.86612	0.7857	1	1	0.236	0.263	0.175	1	0.949
