GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.29933	-1.1857	0.1408	1	0.964	0.268	0.173	0.223	1	0.901
HALLMARK_ANGIOGENESIS	36	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS	-0.36649	-1.179	0.2104	1	0.973	0.444	0.234	0.341	1	0.758
HALLMARK_TNFA_SIGNALING_VIA_NFKB	199	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.2597	-1.1201	0.197	1	0.998	0.156	0.153	0.133	1	0.859
HALLMARK_FATTY_ACID_METABOLISM	158	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_FATTY_ACID_METABOLISM	-0.26507	-1.1069	0.1953	1	0.999	0.291	0.224	0.227	1	0.757
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.24337	-1.0551	0.3273	1	1	0.205	0.197	0.166	1	0.889
HALLMARK_TGF_BETA_SIGNALING	54	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	-0.29007	-1.0349	0.374	1	1	0.204	0.187	0.166	1	0.878
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.26882	-1.0216	0.3794	1	1	0.103	0.0456	0.0991	1	0.849
HALLMARK_COAGULATION	138	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COAGULATION	-0.24718	-1.0137	0.433	1	1	0.232	0.213	0.184	1	0.772
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.26977	-1.0034	0.4502	1	1	0.122	0.0848	0.112	1	0.727
HALLMARK_ADIPOGENESIS	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ADIPOGENESIS	-0.21898	-0.94989	0.6112	1	1	0.225	0.204	0.181	1	0.932
HALLMARK_MTORC1_SIGNALING	199	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MTORC1_SIGNALING	-0.21133	-0.91822	0.6686	1	1	0.256	0.265	0.19	1	0.976
HALLMARK_PEROXISOME	104	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PEROXISOME	-0.23632	-0.91777	0.657	1	1	0.106	0.0882	0.0968	1	0.933
HALLMARK_KRAS_SIGNALING_UP	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	-0.2071	-0.89714	0.7529	1	1	0.165	0.163	0.139	1	0.949
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.25424	-0.88469	0.6806	1	1	0.163	0.142	0.14	1	0.947
HALLMARK_APICAL_SURFACE	44	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APICAL_SURFACE	-0.26063	-0.88373	0.6756	1	1	0.273	0.198	0.219	1	0.89
HALLMARK_ESTROGEN_RESPONSE_EARLY	198	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.19227	-0.83723	0.9127	1	1	0.121	0.139	0.105	1	0.986
HALLMARK_GLYCOLYSIS	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_GLYCOLYSIS	-0.19068	-0.82891	0.9178	1	1	0.145	0.14	0.126	1	0.973
HALLMARK_P53_PATHWAY	199	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_P53_PATHWAY	-0.19042	-0.81898	0.9419	1	1	0.206	0.222	0.162	1	0.943
HALLMARK_MYC_TARGETS_V1	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1	-0.18336	-0.79702	0.9407	1	1	0.155	0.147	0.133	1	0.954
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.22825	-0.77038	0.8542	1	1	0.143	0.138	0.123	1	0.956
HALLMARK_INFLAMMATORY_RESPONSE	200	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	-0.17706	-0.76161	0.9864	1	1	0.08	0.0642	0.0755	1	0.851
HALLMARK_APOPTOSIS	161	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	-0.17918	-0.75392	0.9866	1	1	0.236	0.23	0.183	1	0.672
HALLMARK_E2F_TARGETS	199	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS	-0.15631	-0.67195	1	0.9904	1	0.171	0.209	0.136	1	0.775
