Gene	HALLMARK_MYOGENESIS	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_MITOTIC_SPINDLE	HALLMARK_COMPLEMENT	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_HYPOXIA	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_G2M_CHECKPOINT	HALLMARK_DNA_REPAIR	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_UV_RESPONSE_DN	HALLMARK_HEME_METABOLISM	HALLMARK_UV_RESPONSE_UP	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_SPERMATOGENESIS	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_NOTCH_SIGNALING	HALLMARK_MYC_TARGETS_V2
CCND1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0
IL6	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PIM1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FMO1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CYB5B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PSMC3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CHKA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GRINA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCNE1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CHRNA5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MAPK8IP2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAD	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
JUNB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MRPL23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DGAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SELENOW	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FOSB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
STK25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GGH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CDK2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FOS	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BTG3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
GAL	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TST	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
KRT19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
SGK1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ZFP36	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG20	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
SLC29A1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
TNNC1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAG1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAC1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NBL1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PDZK1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC13B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CALCR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AREG	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM102A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC24A3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GALE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EGR3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CPE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DHCR7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXNB1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AMFR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NUSAP1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NDC80	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CENPF	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBXO5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FLNB	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TIAM1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAR1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPX2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARFIP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
