Gene	HALLMARK_MTORC1_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_P53_PATHWAY	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_COAGULATION	HALLMARK_MYC_TARGETS_V1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_GLYCOLYSIS	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_SURFACE	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_PEROXISOME	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_WNT_BETA_CATENIN_SIGNALING
CCND2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
TNFRSF12A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
CD9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
TOB1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RGS16	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPARCL1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP9	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAT	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CA2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HKDC1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAB39L	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNG11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MALL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLVAP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BB	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GYPC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPGM	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTMR10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USH1C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM176B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRA3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARG1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN1B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3AR1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLR2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
LTB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MYD88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CRLF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
STAT5A	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RELB	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IER2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EFNA1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B4GALT5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CEBPD	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KLF2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ZC3H12A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CCL4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ETS2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GPR183	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BCL2A1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FOSL1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
